cliente;perfil;valor_total_ticket;idade;renda_sm;recorrencia
1;b;5952;24;3.9;50
2;c;7676;34;7.5;52
3;b;5809;24;3;45
4;b;7004;31;4.2;38
5;c;6271;25;4.8;53
6;b;5149;22;5.1;38
7;b;4967;23;3.6;41
8;c;7192;28;4.8;63
9;b;6261;28;5.1;40
10;b;6437;33;3;43
11;c;6541;28;6.3;60
12;b;6598;24;3.6;37
13;a;5547;35;0.9;17
14;c;5835;31;6.9;52
15;c;6889;33;5.1;49
16;c;6419;31;7.2;61
17;b;7029;23;5.4;50
18;c;7497;38;4.2;53
19;c;6321;36;6.6;51
20;b;6725;22;4.8;41
21;b;6662;23;3.3;39
22;b;6822;22;5.1;30
23;b;6334;27;3.9;35
24;c;7710;33;5.7;60
25;b;6707;34;3.6;39
26;c;6287;29;6;53
27;b;6259;26;3.6;46
28;b;6216;31;3.6;48
29;a;4780;32;1.8;11
30;c;5627;33;5.7;59
31;a;4826;34;0.9;15
32;c;5638;38;6.9;61
33;c;6591;30;4.8;56
34;b;5291;29;5.1;36
35;c;6084;32;4.8;53
36;c;6379;30;5.7;58
37;b;6296;25;3.6;49
38;c;6547;31;4.5;61
39;c;5626;25;6.9;53
40;b;5996;22;3.6;40
41;c;7779;31;4.8;52
42;b;5133;29;5.4;51
43;c;7173;28;5.7;55
44;c;5681;26;6.9;48
45;c;6123;28;5.4;60
46;b;4913;27;5.1;50
47;c;5653;26;4.5;48
48;c;5622;33;6.3;67
49;a;5339;32;1.5;12
50;c;4917;29;6.9;59
51;b;5860;27;3.9;40
52;c;7407;25;6.3;61
53;b;5470;23;5.4;30
54;c;5925;30;5.4;53
55;a;5768;42;0.3;13
56;c;7464;26;4.5;64
57;a;5338;36;1.2;17
58;c;6293;32;6.3;63
59;c;5619;26;6;53
60;b;6687;31;4.8;50
61;b;7019;33;3.9;48
62;a;5016;41;1.2;13
63;c;5789;26;7.2;51
64;c;6377;29;7.5;61
65;c;5756;22;4.8;57
66;b;6141;34;3.9;48
67;b;5613;26;5.4;39
68;a;5866;37;0.6;16
69;c;4931;32;5.1;50
70;c;7665;36;4.5;63
71;b;6094;20;3.3;36
72;b;6882;34;4.5;39
73;a;5849;39;0.6;17
74;c;4973;32;4.8;49
75;c;7307;27;6.9;60
76;c;6999;22;7.2;66
77;c;6948;28;6;59
78;b;6886;25;4.5;47
79;b;5583;31;3.9;40
80;b;6037;33;3.6;44
81;a;4993;30;0.9;14
82;a;5336;42;0.6;10
83;a;5368;31;1.5;17
84;c;6470;28;6.3;58
85;c;7104;32;7.2;67
86;b;7080;28;5.4;47
87;a;5568;40;1.8;11
88;c;7942;27;4.5;64
89;b;5105;27;4.8;36
90;b;5853;34;4.8;35
91;b;6778;24;3.3;49
92;c;7670;36;4.8;69
93;b;6956;25;3;51
94;c;5931;25;5.7;48
95;b;5604;27;4.2;36
96;c;6526;22;7.5;67
97;a;5229;29;0.9;13
98;c;6259;32;5.4;55
99;b;6743;24;5.1;33
100;b;6959;28;4.2;43
101;c;6524;36;6.6;54
102;c;5842;31;6;60
103;c;6871;27;4.2;53
104;c;6822;30;4.8;53
105;c;5959;34;6;69
106;b;6350;25;3.9;35
107;b;5405;26;3.3;48
108;b;6689;26;4.5;39
109;c;5694;25;4.5;61
110;b;5808;28;5.4;30
111;b;6698;29;5.1;41
112;c;6997;26;6.9;57
113;c;6392;26;5.7;57
114;b;6759;28;4.5;36
115;b;6844;24;5.1;48
116;b;5636;24;5.1;40
117;c;7643;31;7.2;59
118;b;6538;26;3.9;51
119;c;6108;32;6.3;66
120;a;5366;36;0.9;15
121;b;6278;27;3.3;51
122;b;6945;23;5.1;45
123;c;6597;29;6.6;52
124;c;6820;26;6.6;61
125;a;4478;31;0.3;14
126;c;7201;25;7.5;66
127;c;6050;31;6;52
128;b;5186;26;5.1;43
129;b;6882;24;3.9;51
130;b;6007;25;4.5;48
131;a;5241;23;1.8;16
132;a;4494;23;0.3;13
133;b;5488;23;3.3;33
134;c;5903;36;5.1;69
135;c;7191;38;4.2;56
136;c;4991;34;4.8;50
137;c;5931;29;4.8;53
138;c;6156;32;6;63
139;b;6851;23;3;30
140;b;7003;22;3.9;50
141;c;6459;34;6.3;64
142;c;7273;25;6.9;53
143;b;6893;34;3.6;39
144;c;7744;34;5.4;49
145;c;5836;22;5.1;61
146;a;4359;29;0.6;17
147;b;4905;26;3.9;33
148;b;5051;32;5.4;51
149;b;6790;29;3.6;47
150;b;5684;26;3.9;45
151;b;6897;26;4.8;46
152;b;7060;33;5.4;41
153;c;7444;32;5.1;69
154;c;6742;28;6.9;69
155;b;6205;31;4.5;36
156;b;5814;29;3.9;36
157;c;7992;28;4.5;49
158;c;6569;34;5.4;64
159;c;7320;33;6;51
160;c;7196;27;6.3;66
161;c;6064;26;6;45
162;b;6431;27;3.9;44
163;a;5727;32;1.8;17
164;c;6597;34;6;52
165;c;6505;31;6.3;53
166;c;7486;22;6.3;63
167;c;7378;22;6;51
168;c;6359;31;5.7;63
169;c;5856;31;5.7;54
170;b;5285;20;5.4;41
171;c;5885;38;4.8;56
172;c;7952;36;5.4;45
173;b;6297;20;3.3;35
174;b;6538;32;3.9;36
175;b;5567;24;3.3;47
176;c;7956;34;6;58
177;c;6422;25;6.9;54
178;b;5257;25;4.5;48
179;c;7307;33;4.5;59
180;b;4999;34;4.5;30
181;c;4988;22;5.7;53
182;c;6222;38;7.2;48
183;c;7937;38;6.6;60
184;b;5589;31;4.8;43
185;c;7682;28;6.9;55
186;a;5449;35;0.3;17
187;c;6331;27;5.7;69
188;b;5233;24;4.8;33
189;c;7315;28;5.7;55
190;b;6287;33;3.6;30
191;c;7718;33;7.2;63
192;a;5289;29;1.2;13
193;b;5586;26;4.2;39
194;b;5202;29;3.9;40
195;b;6086;22;3;42
196;c;6849;32;4.8;53
197;b;6998;26;4.2;40
198;a;4747;23;1.8;13
199;c;5725;30;5.1;56
200;c;5643;26;6.3;49
201;c;5773;22;4.2;64
202;a;4377;29;1.5;19
203;c;7377;28;5.7;60
204;b;6960;31;5.4;42
205;c;6820;36;6.9;66
206;b;5646;24;4.5;37
207;b;6310;20;3;38
208;b;4907;28;5.4;48
209;c;5609;33;7.5;55
210;c;7636;29;6.3;59
211;b;5025;22;3.6;44
212;c;6116;26;6;53
213;a;4679;34;1.8;19
214;b;5427;20;3.6;40
215;c;5991;22;5.4;69
216;c;5976;26;6;57
217;b;5635;30;4.8;39
218;a;5495;39;1.8;14
219;b;6609;32;3.6;51
220;b;5034;29;3;48
221;c;6445;29;6.9;58
222;c;5733;22;5.1;57
223;c;6786;34;7.2;60
224;b;5163;27;5.4;35
225;c;5890;34;4.5;59
226;c;6845;30;6.3;51
227;c;6192;22;4.8;60
228;b;6847;22;3.3;40
229;b;6258;20;4.5;47
230;b;6602;34;3.6;47
231;c;7923;29;7.5;57
232;c;5890;29;6.9;60
233;c;6590;29;6.9;59
234;b;6692;26;3.9;47
235;b;5831;28;4.8;46
236;c;6859;31;6.6;63
237;c;6167;30;5.1;50
238;c;5677;33;7.5;53
239;c;7354;36;7.2;52
240;c;5944;25;6.3;64
241;a;5286;38;0.9;10
242;b;5753;27;3.9;44
243;b;6696;32;4.5;40
244;c;6417;34;7.5;69
245;c;7489;38;5.1;55
246;b;5478;22;4.5;37
247;c;6589;34;7.2;56
248;b;6847;30;4.5;35
249;c;6932;36;5.7;53
250;b;6266;32;3;45
