;idade;perfil;renda_sm;ticket_medio
500;33;c;7.5;114.92
501;36;c;7.5;169.58
502;32;c;4.5;115.28
503;25;c;5.4;118.3
504;33;b;3.3;212.07
505;30;c;4.8;98.93
506;28;c;4.5;139.48
507;22;b;3.3;130.31
508;26;b;3.9;111.27
509;28;c;4.5;162.72
510;29;c;6.6;102.58
511;32;a;1.8;371.83
512;30;c;5.1;109.54
513;27;c;7.2;108.4
514;29;c;5.1;127.07
515;31;b;3.9;181.06
516;26;b;5.4;150.73
517;25;b;4.5;219.0
518;34;c;4.5;137.87
519;31;c;6.3;122.84
520;42;a;0.6;439.85
521;26;c;6.3;109.93
522;28;c;5.4;126.95
523;34;c;6.9;90.33
524;28;c;4.5;83.29
525;22;b;4.2;108.91
526;28;c;6.6;82.85
527;38;c;5.1;131.0
528;28;c;4.8;88.94
529;32;b;4.2;98.56
530;29;b;3.3;131.36
531;33;c;7.2;105.72
532;28;c;5.1;114.4
533;32;c;4.8;123.98
534;29;a;1.8;311.0
535;30;c;6.0;105.15
536;36;c;4.2;96.21
537;39;a;1.8;344.31
538;25;c;4.8;97.59
539;33;c;5.4;113.89
540;22;b;4.8;201.2
541;22;c;5.4;111.69
542;26;b;3.6;180.87
543;27;b;3.0;125.24
544;20;b;4.5;173.24
545;27;c;5.1;132.26
546;33;c;7.5;142.77
547;33;b;3.3;172.89
548;38;c;5.7;87.23
549;28;c;4.5;119.01
550;31;b;3.0;153.36
551;22;c;4.5;125.42
552;33;c;4.5;97.05
553;25;b;4.5;124.67
554;26;b;4.2;114.84
555;36;c;7.2;94.86
556;32;b;3.6;140.59
557;38;c;7.2;126.39
558;26;c;6.9;118.1
559;32;b;3.9;151.51
560;20;b;4.2;183.0
561;29;b;3.6;183.42
562;39;a;0.9;227.68
563;27;b;4.5;157.91
564;30;c;6.6;134.9
565;28;c;4.5;101.61
566;33;b;3.6;168.88
567;33;c;5.7;130.46
568;33;b;3.0;144.52
569;39;a;0.3;295.31
570;33;c;5.1;130.4
571;38;c;4.5;119.39
572;38;c;4.2;103.23
573;33;b;3.3;106.88
574;27;c;6.6;105.79
575;25;b;4.5;109.2
576;26;b;5.4;161.2
577;25;b;3.9;151.83
578;22;b;3.9;138.72
579;30;c;5.7;125.0
580;28;c;5.4;127.26
581;33;c;6.9;106.96
582;24;b;4.2;218.3
583;26;b;5.4;153.69
584;32;b;4.2;120.98
585;34;b;4.2;132.52
586;31;b;3.3;138.45
587;41;a;1.8;267.21
588;29;c;4.2;119.82
589;25;c;5.7;130.69
590;25;b;3.6;150.73
591;34;c;7.5;139.82
592;26;c;6.6;116.56
593;29;b;3.9;145.64
594;27;b;3.6;186.69
595;29;c;5.4;101.6
596;22;b;3.3;186.24
597;39;a;0.3;386.0
598;29;c;6.3;104.3
599;38;c;4.2;91.16
600;30;b;4.2;149.0
601;27;b;3.3;189.35
602;22;b;5.1;149.0
603;30;c;7.2;118.37
604;22;b;3.6;143.09
605;41;a;0.9;489.9
606;22;b;3.0;132.7
607;22;c;5.7;133.37
608;25;c;6.6;107.66
609;34;c;4.5;121.25
610;30;c;4.5;138.65
611;31;c;6.6;159.49
612;31;b;3.3;121.82
613;34;b;3.3;157.45
614;33;c;6.9;112.0
615;22;b;3.0;168.03
616;27;b;5.4;157.76
617;25;b;4.2;119.62
618;25;c;4.2;99.88
619;32;b;3.0;143.67
620;33;a;1.5;460.92
621;38;c;6.3;123.17
622;34;b;5.1;164.74
623;24;b;5.1;154.41
624;31;c;4.5;114.77
625;28;c;4.5;143.81
626;25;b;4.2;114.82
627;29;c;7.2;151.69
628;33;b;3.9;180.46
629;38;c;4.5;119.83
630;33;b;3.3;103.34
631;41;a;1.5;324.69
632;29;c;4.5;122.71
633;31;b;4.8;130.16
634;36;c;5.4;131.51
635;32;c;7.5;139.48
636;30;c;7.2;89.62
637;38;a;0.6;361.85
638;28;c;6.0;91.95
639;33;b;4.8;189.27
640;32;c;6.0;87.72
641;28;c;5.7;138.87
642;32;b;3.0;147.48
643;22;b;3.6;199.34
644;32;c;7.5;139.59
645;31;c;6.6;131.49
646;35;a;0.3;324.38
647;26;b;3.9;126.08
648;41;a;1.5;254.16
649;29;b;4.8;146.64
650;29;c;5.1;116.83
651;36;c;7.2;114.66
652;38;c;5.7;107.33
653;31;c;5.4;123.57
654;28;c;7.5;151.64
655;32;c;7.5;102.07
656;26;c;5.7;95.42
657;29;c;6.0;114.78
658;41;a;1.5;317.62
659;33;b;3.9;230.6
660;32;a;1.2;442.33
661;33;b;3.0;173.57
662;31;a;1.2;346.5
663;27;c;5.7;123.06
664;32;c;6.3;90.49
665;32;c;5.7;109.53
666;20;b;3.3;129.95
667;29;c;4.8;130.16
668;30;b;3.6;190.78
669;36;c;6.9;113.63
670;42;a;0.9;372.93
671;22;b;4.5;149.49
672;32;c;4.8;84.43
673;32;c;4.5;114.55
674;36;c;6.6;90.28
675;28;b;4.8;128.75
676;34;c;6.0;130.82
677;38;c;5.4;83.7
678;26;b;4.2;129.56
679;41;a;1.8;507.64
680;24;b;5.1;178.89
681;41;a;0.3;279.19
682;26;b;4.8;137.27
683;26;b;4.8;194.31
684;25;b;5.1;182.94
685;35;a;1.8;319.19
686;27;b;3.3;115.66
687;28;b;5.1;127.98
688;28;c;4.2;102.54
689;33;c;7.5;110.79
690;28;b;4.8;139.46
691;32;c;6.6;83.31
692;27;b;5.1;188.03
693;29;c;7.2;142.19
694;20;b;3.9;184.8
695;32;a;0.3;359.93
696;28;c;6.0;175.84
697;41;a;1.5;281.84
698;35;a;0.3;540.4
699;29;b;3.3;102.22
700;22;b;4.2;147.91
701;27;c;6.9;91.3
702;33;b;4.5;154.09
703;29;b;3.0;183.67
704;23;b;5.4;169.23
705;38;a;1.5;338.38
706;38;c;6.6;97.24
707;30;b;5.1;122.94
708;42;a;0.9;302.4
709;28;c;4.5;137.19
